Photon Energy (eV),v=0,v=1,v=2,v=3,v=4
1.0,0.0,0.0,0.0,0.0,0.0
1.0816326530612246,1.0,0.0,0.0,0.0,0.0
1.163265306122449,1.0,0.0,0.0,0.0,0.0
1.2448979591836735,1.0,0.0,0.0,0.0,0.0
1.3265306122448979,0.7320912943201697,0.2679087056798303,0.0,0.0,0.0
1.4081632653061225,0.5405593188249348,0.45944068117506515,0.0,0.0,0.0
1.489795918367347,0.44645630090078436,0.5535436990992156,0.0,0.0,0.0
1.5714285714285714,0.3590131389689024,0.5552358347130483,0.08575102631804934,0.0,0.0
1.6530612244897958,0.2815879751628956,0.5042155114112857,0.21419651342581864,0.0,0.0
1.7346938775510203,0.2340649286338057,0.46536218825302766,0.3005728831131666,0.0,0.0
1.816326530612245,0.1979123183940308,0.42567101629313825,0.348938212469906,0.027478452842925067,0.0
1.8979591836734693,0.16442362278567177,0.37599007005599344,0.3600912485431331,0.09949505861520166,0.0
1.9795918367346939,0.1407785586355477,0.3381230152243577,0.36148419490910416,0.15961423123099033,0.0
2.061224489795918,0.12307554585396879,0.3077384409317475,0.35714081049403607,0.20414429093542813,0.007900911784819515
2.142857142857143,0.10674895888549027,0.27602318528719455,0.34137845189958677,0.23029019081257301,0.045559213115155366
2.224489795918367,0.09413061497447507,0.250407275752346,0.32583157453651984,0.2468128954805761,0.08281763925608285
2.3061224489795915,0.08453597774859661,0.23042413100206025,0.31252548649627915,0.25794890351351335,0.11456550123955056
2.387755102040816,0.07713152841552112,0.21472042826039542,0.30144849140300706,0.26582793997409726,0.140871611946979
2.4693877551020407,0.07130220697562965,0.20218375990439622,0.2922399533617552,0.27162484552637334,0.1626492342318455
2.5510204081632653,0.066622705297447,0.19200618632011604,0.28453288091127144,0.2760283409460398,0.18080988652512575
2.63265306122449,0.0627995192813252,0.1836130135409724,0.2780228169069031,0.2794629630891427,0.19610168718165652
2.7142857142857144,0.059627095042226914,0.17659302242941713,0.27247082415820567,0.28220179958327807,0.20910725878687206
2.7959183673469385,0.0569586625681413,0.17064771197747716,0.2676921182437267,0.284427044664369,0.22027446254628583
2.877551020408163,0.05468731928941154,0.16555674979964496,0.2635437455385765,0.28626413340341417,0.22994805196895288
2.9591836734693877,0.052733708304576146,0.16115474752387215,0.2599143937176744,0.2878018110771161,0.23839533937676105
3.0408163265306123,0.05103787526147455,0.1573155584575587,0.256716604832972,0.28910437825009394,0.24582558319790077
3.1224489795918364,0.04955378972649947,0.15394152519594642,0.2538809821945967,0.290219410015369,0.2524042928675885
3.204081632653061,0.04824559007162939,0.15095600382264313,0.2513519100318012,0.29118276501123047,0.2582637310626958
3.2857142857142856,0.047084962573939924,0.14829808345397238,0.2490843844126859,0.2920219205551421,0.26351064900425986
3.36734693877551,0.04604928039016884,0.14591879818751152,0.24704165216474444,0.29275824499064257,0.2682320242669327
3.4489795918367343,0.04512026063762999,0.14377836912923458,0.245193437197307,0.29340857828552,0.27249935475030834
3.530612244897959,0.04428298072000874,0.14184416817956477,0.24351459589556365,0.2939863521873685,0.27637190301749437
3.6122448979591835,0.043525147725198415,0.14008919493829847,0.2419840882103946,0.29450239761943087,0.2798991715066778
3.693877551020408,0.04283654876731117,0.13849092346871203,0.24058418299291917,0.29496553567750367,0.2831228090935539
3.7755102040816326,0.04220863250740313,0.1370304191508941,0.23929983869521354,0.295383016358723,0.2860780932877662
3.8571428571428568,0.04163418701100135,0.13569165519344684,0.23811821654749685,0.29576084848317036,0.2887950927648846
3.9387755102040813,0.04110708921162422,0.13446097844000568,0.23702829470550388,0.29610405075524393,0.29129958688762236
4.020408163265306,0.04062210819896784,0.13332668801589775,0.23602056002239527,0.2964168449182427,0.29361379884449645
4.1020408163265305,0.04017474939198771,0.132278700123565,0.2350867599957495,0.29670280587180015,0.29575698461689764
4.183673469387754,0.039761130073390265,0.1313082792316707,0.23421970173561682,0.296964979443524,0.2977459095157982
4.26530612244898,0.03937787920174111,0.13040782088718683,0.23341308795521837,0.2972059755960601,0.2995952363597938
4.346938775510203,0.03902205617945373,0.12957067500033992,0.23266138232350256,0.2974280427972551,0.30131784369944875
4.428571428571429,0.03869108454116065,0.1287910011091763,0.2319596982646622,0.29763312781427714,0.30292508827072373
4.5102040816326525,0.03838269747532724,0.12806364909909773,0.2313037066040469,0.2978229241328308,0.3044270226886974
4.591836734693877,0.03809489279783686,0.1273840603246559,0.23068955845696829,0.29799891142881657,0.3058325769917223
4.673469387755102,0.03782589552635982,0.126748185191032,0.23011382051889132,0.29816238794908656,0.30714971081463016
4.755102040816326,0.03757412660576151,0.12615241409672914,0.22957342050198007,0.29831449723309666,0.3083855415624327
4.836734693877551,0.037338176641254044,0.12559351928583046,0.2290656009174589,0.29845625028814043,0.3095464528673163
4.918367346938775,0.037116783731702886,0.12506860565746186,0.2285878797577289,0.2985885440891737,0.3106381867639327
5.0,0.03690881467809258,0.1245750689681956,0.22813801691041372,0.29871217708974945,0.3116659223535486
